"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Ethiopia","2014","Other","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,"Green",2075,"good"
"Ethiopia","2014","Other","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,"Green",2075,"good"
"Ethiopia","2014","Other","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,"Green",1822.5,"good"
"China","2015","Other","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,"Green",1450,"good"
"United States","2014","Other","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,"None",2019,"good"
"Costa Rica","2014","Caturra","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,"Green",1300,"good"
"Mexico","2012","Other","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,"Green",1320,"good"
"Brazil","2011","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,"Green",1250,"good"
"Uganda","2013","Other","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,"Green",1950,"good"
"Taiwan","2015","Other","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,8.17,0,"Green",1200,"good"
"Brazil","2011","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,"Green",1300,"good"
"Costa Rica","2016","Caturra","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,"Blue-Green",1300,"good"
"Kenya","2013","Other","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,"Blue-Green",1800,"good"
"Thailand","2012","Caturra","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,"Green",1300,"good"
"Taiwan","2015","Bourbon","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,"Green",1000,"good"
"Kenya","2014","Other","Natural / Dry",8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,"Bluish-Green",1754,"good"
"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,0.11,"Blue-Green",1250,"good"
"Colombia","2013","Caturra","Washed / Wet",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,"Green",1200,"good"
"Kenya","2013","Other","Washed / Wet",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,"Green",1860,"good"
"Uganda","2012","Other","Washed / Wet",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,"Blue-Green",1650,"good"
"Uganda","2013","Other","Natural / Dry",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,"Green",1650,"good"
"Colombia","2013","Caturra","Washed / Wet",8,8,8,8.17,7.83,8,10,10,10,7.92,0,"Blue-Green",1800,"good"
"Panama","2017","Other","Washed / Wet",8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,"Bluish-Green",1600,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,"Green",1524,"good"
"Guatemala","2012","Catuai","Washed / Wet",8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,"Bluish-Green",1417.32,"good"
"El Salvador","2013","Bourbon","Washed / Wet",7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,"Blue-Green",1500,"good"
"El Salvador","2012","Bourbon","Semi-washed / Semi-pulped",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,"None",1350,"good"
"Kenya","2014","Other","Natural / Dry",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,"Green",1900,"good"
"Ethiopia","2015","Other","Natural / Dry",7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,"Green",1900,"good"
"Uganda","2013","Other","Washed / Wet",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,"Green",1600,"good"
"Guatemala","2013","Bourbon","Washed / Wet",8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,"Green",1731.264,"good"
"Uganda","2013","Other","Washed / Wet",8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,"Green",1950,"good"
"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,0.11,"Blue-Green",1250,"good"
"China","2015","Other","Natural / Dry",8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,"Green",1700,"good"
"Guatemala","2014","Other","Natural / Dry",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,"Green",1770,"good"
"Costa Rica","2014","Caturra","Washed / Wet",7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,"Bluish-Green",1300,"good"
"Costa Rica","2014","Caturra","Washed / Wet",8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,"Bluish-Green",1300,"good"
"Kenya","2012","Other","Washed / Wet",7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,"Green",1600,"good"
"Kenya","2012","Other","Washed / Wet",8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,"Green",1200,"good"
"Colombia","2015","Caturra","Washed / Wet",8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,"Green",1550,"good"
"Colombia","2014","Caturra","Natural / Dry",7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,"Green",1550,"good"
"Indonesia","2012","Other","Semi-washed / Semi-pulped",7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,"Green",1325,"good"
"Colombia","2012","Caturra","Natural / Dry",7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,"Green",2136,"good"
"Uganda","2016","Other","Washed / Wet",8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,"Green",1800,"good"
"Costa Rica","2016","Catuai","Washed / Wet",7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,"Green",1900,"good"
"Mexico","2015","Typica","Washed / Wet",7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,"Green",1300,"good"
"Kenya","2012","Other","Washed / Wet",7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,"Green",1580,"good"
"Brazil","2012","Other","Natural / Dry",8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,"Green",1100,"good"
"Colombia","2015","Caturra","Washed / Wet",7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,"Green",1775,"good"
"Taiwan","2015","Typica","Semi-washed / Semi-pulped",7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,"Green",800,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,"Green",1620,"good"
"Colombia","2012","Caturra","Washed / Wet",7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,"Green",1775,"good"
"Brazil","2011","Bourbon","Natural / Dry",8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,"Green",1200,"good"
"Brazil","2011","Catuai","Natural / Dry",8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,"Green",1000,"good"
"Taiwan","2016","Typica","Natural / Dry",7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0,"Green",350,"good"
"Uganda","2013","Other","Natural / Dry",7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,"Green",1650,"good"
"Kenya","2014","Other","Washed / Wet",7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,"Green",1800,"good"
"Honduras","2014","Catuai","Washed / Wet",7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,"Green",1450,"good"
"El Salvador","2016","Bourbon","Washed / Wet",7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,"Blue-Green",1350,"good"
"Indonesia","2016","Other","Washed / Wet",7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,"Green",1200,"good"
"Costa Rica","2015","Catuai","Washed / Wet",8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,"Blue-Green",1150,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,"Green",1600,"good"
"Costa Rica","2014","Caturra","Washed / Wet",8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,"Green",1750,"good"
"Costa Rica","2014","Other","Other",7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,"Green",1750,"good"
"Costa Rica","2014","Catuai","Washed / Wet",8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,"Green",1200,"good"
"Taiwan","2014","Typica","Washed / Wet",8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11,"Green",1000,"good"
"Colombia","2013","Caturra","Washed / Wet",7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,"Green",1550,"good"
"Kenya","2012","Other","Washed / Wet",7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,"Bluish-Green",2000,"good"
"Guatemala","2012","Bourbon","Washed / Wet",8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,"Green",1310.64,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,"Green",1524,"good"
"Uganda","2012","Other","Washed / Wet",7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,"Blue-Green",1775,"good"
"Colombia","2016","Other","Washed / Wet",7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,"Blue-Green",1500,"good"
"Kenya","2013","Other","Washed / Wet",7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,"Bluish-Green",1800,"good"
"Guatemala","2014","Other","Washed / Wet",7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,"Green",1524,"good"
"Guatemala","2014","Bourbon","Washed / Wet",8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,"Green",1219.2,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,"Green",1750,"good"
"Costa Rica","2012","Bourbon","Semi-washed / Semi-pulped",7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,"Bluish-Green",1575,"good"
"Colombia","2012","Caturra","Washed / Wet",7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,"Green",1800,"good"
"Brazil","2011","Bourbon","Semi-washed / Semi-pulped",8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,"Green",1300,"good"
"Brazil","2011","Catuai","Semi-washed / Semi-pulped",8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,"Blue-Green",1100,"good"
"Costa Rica","2018","Caturra","Washed / Wet",7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,"Bluish-Green",1200,"good"
"Uganda","2016","Other","Washed / Wet",7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,"Green",1750,"good"
"China","2015","Other","Washed / Wet",7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,"Green",1680,"good"
"Costa Rica","2014","Caturra","Washed / Wet",7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,"Green",1700,"good"
"Colombia","2016","Other","Washed / Wet",8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,"Green",1800,"good"
"China","2013","Other","Washed / Wet",7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,"Green",1100,"good"
"Guatemala","2013","Bourbon","Washed / Wet",8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,"Green",1310.64,"good"
"Kenya","2012","Other","Washed / Wet",7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,"Blue-Green",2000,"good"
"Mexico","2012","Typica","Washed / Wet",8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,"Green",1350,"good"
"Costa Rica","2016","Caturra","Washed / Wet",7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,"Blue-Green",1300,"good"
"Indonesia","2017","Other","Other",7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,"Blue-Green",1400,"good"
"Colombia","2014","Caturra","Washed / Wet",7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,"Green",1775,"good"
"Taiwan","2012","Typica","Washed / Wet",7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,"Blue-Green",1200,"good"
"Kenya","2018","Other","Washed / Wet",7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,"Green",1800,"good"
"Honduras","2016","Catuai","Washed / Wet",7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,"Green",1500,"good"
"Colombia","2015","Caturra","Natural / Dry",7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,"Green",442,"good"
"Colombia","2013","Caturra","Washed / Wet",7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,"Green",1800,"good"
"Mexico","2012","Typica","Washed / Wet",8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,"Blue-Green",1700,"good"
"Taiwan","2016","Typica","Washed / Wet",7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,"Blue-Green",1000,"good"
"Thailand","2015","Other","Natural / Dry",7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,"Green",1200,"good"
"Colombia","2016","Caturra","Natural / Dry",7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,"Green",2560,"good"
"Guatemala","2016","Caturra","Washed / Wet",7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,"Green",1500,"good"
"Guatemala","2015","Caturra","Washed / Wet",7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,"Green",1099.4136,"good"
"China","2015","Other","Natural / Dry",7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,"Green",1400,"good"
"Colombia","2015","Caturra","Washed / Wet",7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,"Green",1775,"good"
"Colombia","2015","Caturra","Washed / Wet",7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,"Green",1775,"good"
"Colombia","2016","Other","Washed / Wet",7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,"Green",1800,"good"
"Colombia","2015","Caturra","Natural / Dry",7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,"Green",442,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12,"Green",1620,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12,"Green",1600,"good"
"Guatemala","2014","Bourbon","Other",7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,"Green",1219.2,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,"Green",1700,"good"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,"Green",1450,"good"
"Mexico","2012","Bourbon","Washed / Wet",7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12,"Green",1170,"good"
"Mexico","2012","Bourbon","Washed / Wet",7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1,"Bluish-Green",1400,"good"
"Uganda","2012","Other","Natural / Dry",8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13,"Green",1700,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13,"Green",1700,"good"
"Costa Rica","2016","Caturra","Washed / Wet",7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09,"Bluish-Green",1700,"good"
"Guatemala","2016","Caturra","Washed / Wet",7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11,"Green",1116.7872,"good"
"Guatemala","2016","Caturra","Washed / Wet",7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1,"Green",1565,"good"
"Guatemala","2016","Bourbon","Washed / Wet",7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1,"Green",3280,"good"
"Colombia","2015","Caturra","Washed / Wet",8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0,"Bluish-Green",1775,"good"
"Nicaragua","2015","Caturra","Natural / Dry",7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12,"Bluish-Green",1000,"good"
"Costa Rica","2014","Caturra","Washed / Wet",7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0,"Blue-Green",1850,"good"
"Ethiopia","2014","Other","Natural / Dry",7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1,"Green",1606.5,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,0.13,"Green",1400,"good"
"Colombia","2015","Other","Washed / Wet",7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12,"Green",1530,"good"
"Kenya","2013","Other","Washed / Wet",7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08,"Green",250.5,"good"
"Brazil","2012","Other","Natural / Dry",7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11,"Green",1038.5,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11,"Green",1310.64,"good"
"El Salvador","2013","Bourbon","Natural / Dry",8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11,"Bluish-Green",1500,"good"
"Colombia","2012","Caturra","Washed / Wet",7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0,"Green",1750,"good"
"Uganda","2012","Other","Washed / Wet",7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11,"Green",1600,"good"
"Colombia","2018","Caturra","Washed / Wet",7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0,"Green",442,"good"
"Taiwan","2016","Typica","Washed / Wet",7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,0.1,"Bluish-Green",968,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1,"Bluish-Green",1550,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11,"Green",1480,"good"
"Ethiopia","2017","Other","Natural / Dry",7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11,"Green",1800,"good"
"Honduras","2017","Caturra","Washed / Wet",7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1,"Green",1500,"good"
"Guatemala","2015","Caturra","Washed / Wet",7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12,"Green",1706.88,"good"
"Colombia","2015","Other","Washed / Wet",7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11,"Green",1600,"good"
"Guatemala","2014","Bourbon","Natural / Dry",7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1,"Green",1219.2,"good"
"Guatemala","2014","Bourbon","Other",7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1,"Green",1219.2,"good"
"Colombia","2014","Caturra","Natural / Dry",7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12,"Green",1450,"good"
"Colombia","2014","Caturra","Washed / Wet",7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12,"Green",1775,"good"
"Ethiopia","2013","Other","Natural / Dry",7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09,"Green",1550,"good"
"Brazil","2014","Other","Natural / Dry",7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1,"Green",1260,"good"
"Colombia","2013","Caturra","Washed / Wet",7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,0.11,"Green",1700,"good"
"Kenya","2012","Other","Washed / Wet",7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,0,"Green",1200,"good"
"Kenya","2012","Other","Washed / Wet",7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,0,"Bluish-Green",1650,"good"
"Uganda","2012","Other","Washed / Wet",7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,0.1,"Green",1700,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,0,"Green",890,"good"
"Mexico","2017","Other","Washed / Wet",7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,0.11,"Green",1300,"good"
"Thailand","2015","Other","Natural / Dry",7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,0.1,"Bluish-Green",1350,"good"
"Brazil","2016","Bourbon","Natural / Dry",7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,0.11,"Green",934,"good"
"Taiwan","2015","Typica","Washed / Wet",7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,0.11,"Green",1200,"good"
"Colombia","2014","Caturra","Washed / Wet",7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,0,"Green",1775,"good"
"Taiwan","2014","Typica","Washed / Wet",8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,0.06,"Green",950,"good"
"Colombia","2014","Caturra","Natural / Dry",7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,0.12,"Green",1550,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,0.12,"Blue-Green",900,"good"
"Mexico","2012","Typica","Washed / Wet",7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,0,"Green",1400,"good"
"Colombia","2017","Caturra","Washed / Wet",7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0,"Green",2527,"good"
"Costa Rica","2015","Caturra","Washed / Wet",7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,0,"Blue-Green",1850,"good"
"Guatemala","2016","Bourbon","Washed / Wet",7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,0.11,"Green",1500,"good"
"Brazil","2016","Other","Natural / Dry",7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,0,"Green",1,"good"
"Taiwan","2014","Typica","Washed / Wet",7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,0,"Green",525,"good"
"Brazil","2015","Bourbon","Semi-washed / Semi-pulped",7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,0,"Green",1200,"good"
"Costa Rica","2013","Catuai","Washed / Wet",7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,0.1,"Green",1300,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,0.1,"Green",1219.2,"good"
"Brazil","2014","Other","Natural / Dry",7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,0.1,"Green",1260,"good"
"Colombia","2013","Caturra","Washed / Wet",7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,0.11,"Green",1750,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,0.11,"Green",1310.64,"good"
"Mexico","2012","Bourbon","Natural / Dry",7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,0.1,"Green",1218,"good"
"Brazil","2012","Other","Semi-washed / Semi-pulped",7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,0.12,"Green",1250,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,0.11,"Green",890,"good"
"Colombia","2017","Caturra","Washed / Wet",7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,0.11,"Green",442,"good"
"Taiwan","2016","Typica","Natural / Dry",7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,0,"Green",750,"good"
