"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,0.11,"Green",1706.88,"good"
"Colombia","2013","Other","Washed / Wet",7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,0.11,"Green",1450,"good"
"Mexico","2012","Typica","Natural / Dry",7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,0.1,"Green",1248,"good"
"Vietnam","2012","Other","Natural / Dry",7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0,"None",1040,"good"
"Mexico","2012","Typica","Washed / Wet",8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,0.14,"Green",1400,"good"
"Kenya","2017","Other","Washed / Wet",7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,0.1,"Green",1754,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,0.11,"Green",1700,"good"
"Brazil","2015","Other","Pulped natural / honey",7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,0.11,"Bluish-Green",905,"good"
"El Salvador","2016","Other","Washed / Wet",7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,0,"Green",1250,"good"
"Rwanda","2015","Bourbon","Washed / Wet",7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11,"Bluish-Green",1900,"good"
"Vietnam","2014","Other","Other",7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11,"Green",1040,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11,"Green",1219.2,"good"
"Brazil","2015","Catuai","Natural / Dry",7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12,"Green",900,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1,"Green",1500,"good"
"Colombia","2013","Typica","Natural / Dry",7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0,"Green",1800,"good"
"Colombia","2013","Caturra","Washed / Wet",7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,0.11,"Green",1775,"good"
"Tanzania, United Republic Of","2012","Other","Washed / Wet",7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,0.11,"Green",1400,"good"
"Mexico","2012","Caturra","Washed / Wet",7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,0.12,"Green",1550,"good"
"Mexico","2012","Bourbon","Washed / Wet",7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,0.12,"Blue-Green",1250,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,0.11,"Green",1310.64,"good"
"Guatemala","2017","Caturra","Washed / Wet",7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,0.11,"Green",1800,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,0.11,"Green",1700,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,0.1,"Green",1219.2,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,0.1,"Green",1219.2,"good"
"Indonesia","2017","Other","Other",7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,0.12,"Blue-Green",1500,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,0.12,"Green",157.8864,"good"
"Taiwan","2016","Other","Natural / Dry",7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,0,"Green",650,"good"
"Costa Rica","2016","Caturra","Washed / Wet",7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09,"Bluish-Green",1850,"good"
"Honduras","2017","Caturra","Natural / Dry",7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09,"Green",1400,"good"
"Brazil","2015","Other","Pulped natural / honey",7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11,"Bluish-Green",905,"good"
"China","2015","Other","Natural / Dry",7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1,"Green",1100,"good"
"China","2015","Other","Washed / Wet",7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11,"Green",1500,"good"
"Colombia","2014","Caturra","Washed / Wet",7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0,"Blue-Green",1775,"good"
"Malawi","2014","Other","Washed / Wet",7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12,"Bluish-Green",1442,"good"
"Guatemala","2014","Other","Washed / Wet",7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,0.13,"Green",1524,"good"
"Colombia","2014","Typica","Washed / Wet",7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,0.12,"Green",165,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,0.1,"Green",1300,"good"
"Mexico","2013","Typica","Washed / Wet",7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,0.12,"Green",1550,"good"
"Colombia","2012","Caturra","Washed / Wet",7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,0,"Blue-Green",1625,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,0.11,"Green",1775,"good"
"Panama","2012","Catuai","Washed / Wet",7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,0,"Green",1100,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,0,"Green",890,"good"
"Brazil","2016","Bourbon","Natural / Dry",7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,0.11,"Bluish-Green",934,"good"
"Laos","2015","Other","Washed / Wet",7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,0.13,"Bluish-Green",1300,"good"
"El Salvador","2016","Other","Washed / Wet",7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,0,"Green",1200,"good"
"Brazil","2016","Other","Natural / Dry",7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,0,"Green",1,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,0.12,"Green",1700,"good"
"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,0.12,"Green",1550,"good"
"Taiwan","2014","Typica","Washed / Wet",8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,0.08,"Green",1200,"good"
"Mexico","2014","Typica","Natural / Dry",7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,0.11,"Green",1296,"good"
"Uganda","2013","Other","Washed / Wet",7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,0.12,"Green",1650,"good"
"Taiwan","2014","Typica","Washed / Wet",7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,0.11,"Green",1240,"good"
"Thailand","2013","Caturra","Washed / Wet",7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,0.11,"Bluish-Green",1500,"good"
"Colombia","2012","Caturra","Washed / Wet",7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,0.11,"Bluish-Green",1800,"good"
"Guatemala","2012","Caturra","Washed / Wet",7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,0.11,"Green",1500,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,"Green",1219.2,"good"
"Taiwan","2016","Typica","Pulped natural / honey",7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,0.11,"Green",1050,"good"
"Indonesia","2015","Typica","Semi-washed / Semi-pulped",7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,7.5,0.13,"Blue-Green",1250,"good"
"Thailand","2014","Caturra","Washed / Wet",7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,0.12,"Blue-Green",1450,"good"
"Uganda","2013","Other","Natural / Dry",7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,7.42,0.12,"Green",1650,"good"
"Costa Rica","2013","Catuai","Washed / Wet",7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,0.11,"Green",1300,"good"
"Colombia","2013","Caturra","Washed / Wet",7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,0.11,"Blue-Green",1750,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,0.11,"Green",1750,"good"
"Mexico","2012","Typica","Washed / Wet",7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,0.1,"Green",1250,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,0.12,"Green",1150,"good"
"Colombia","2012","Caturra","Washed / Wet",7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,0.11,"Green",1775,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,0.11,"Green",890,"good"
"Indonesia","2017","Other","Washed / Wet",7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,0.11,"Green",1250,"good"
"Honduras","2017","Caturra","Washed / Wet",7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,0.1,"Green",1400,"good"
"Guatemala","2016","Bourbon","Washed / Wet",7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,0.1,"Green",1219.2,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,0.12,"Green",1600,"good"
"Mexico","2013","Other","Washed / Wet",7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,0,"Green",1600,"good"
"Brazil","2014","Other","Semi-washed / Semi-pulped",7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,0.11,"Bluish-Green",1260,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,0.12,"Green",1310.64,"good"
"Colombia","2013","Caturra","Washed / Wet",7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,0.11,"Green",1750,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,0.11,"Green",1310.64,"good"
"Mexico","2012","Typica","Washed / Wet",7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,0.13,"None",1679,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,0.12,"Green",1100,"good"
"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,0,"Blue-Green",1250,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,0.11,"Green",1775,"good"
"Honduras","2017","Other","Washed / Wet",7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,0.12,"Green",1500,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,0.1,"Green",1700,"bad"
"Guatemala","2016","Bourbon","Washed / Wet",7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,0.12,"Green",1700,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,0.12,"Green",157.8864,"bad"
"Colombia","2016","Caturra","Washed / Wet",5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,0.11,"Green",1600,"bad"
"China","2015","Other","Washed / Wet",7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,0.1,"Green",1600,"bad"
"Tanzania, United Republic Of","2016","Other","Washed / Wet",7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,0.13,"Green",2285,"bad"
"Brazil","2016","Other","Natural / Dry",7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,0,"Green",1,"bad"
"Guatemala","2013","Caturra","Washed / Wet",7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,0.1,"Green",1400,"bad"
"Mexico","2014","Typica","Washed / Wet",7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,"Green",1296,"bad"
"Brazil","2012","Catuai","Semi-washed / Semi-pulped",7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,0.12,"Blue-Green",1000,"bad"
"Brazil","2014","Other","Natural / Dry",7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,0,"Green",1260,"bad"
"Mexico","2013","Bourbon","Washed / Wet",7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,0.12,"Green",1170,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,0.11,"Green",1775,"bad"
"Mexico","2013","Typica","Washed / Wet",7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,0.12,"Green",1560,"bad"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,0.13,"Green",1400,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,0.14,"Green",1300,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,0.13,"Green",1170,"bad"
"Mexico","2012","Typica","Washed / Wet",7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,0.11,"Green",1300,"bad"
"Mexico","2012","Other","Washed / Wet",7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,0.14,"Green",1350,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,0.11,"Green",1150,"bad"
"Mexico","2012","Typica","Washed / Wet",7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,0.12,"Bluish-Green",1450,"bad"
"Colombia","2011","Caturra","Washed / Wet",7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,0,"Green",1750,"bad"
"Honduras","2017","Caturra","Washed / Wet",7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,0.1,"Green",1396,"bad"
"Brazil","2016","Catuai","Natural / Dry",7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,0.11,"Green",982,"bad"
"Brazil","2016","Bourbon","Natural / Dry",7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,0.11,"Bluish-Green",934,"bad"
"Costa Rica","2015","Caturra","Washed / Wet",7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,0.1,"Bluish-Green",1850,"bad"
"Costa Rica","2015","Catuai","Washed / Wet",7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,0,"Green",1550,"bad"
"China","2015","Other","Pulped natural / honey",7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,0.12,"Green",1580,"bad"
"Brazil","2016","Bourbon","Natural / Dry",8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,0.07,"Green",1268,"bad"
"Guatemala","2015","Bourbon","Washed / Wet",7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,0.1,"Green",1676.4,"bad"
"Malawi","2014","Other","Washed / Wet",7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,0.12,"Green",1450,"bad"
"Brazil","2015","Bourbon","Natural / Dry",7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,0.11,"Blue-Green",1100,"bad"
"Guatemala","2014","Other","Washed / Wet",7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,0.12,"Green",1524,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,0.1,"Green",1300,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,0.11,"Green",200,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,0.11,"Green",600,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,0.12,"Green",1310.64,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,0,"Green",1750,"bad"
"Mexico","2013","Typica","Washed / Wet",7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,0.12,"Green",1300,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,0.11,"Green",1752.6,"bad"
"Mexico","2012","Typica","Natural / Dry",7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,0.15,"None",441,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,0.13,"Green",1170,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,0.1,"Green",1310.64,"bad"
"Brazil","2012","Other","Natural / Dry",7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,0.12,"Green",1100,"bad"
"Mexico","2012","Typica","Washed / Wet",8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,0.11,"Green",1300,"bad"
"Brazil","2012","Other","Washed / Wet",7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,0.11,"Green",950,"bad"
"Colombia","2012","Caturra","Natural / Dry",7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,0,"Green",442,"bad"
"Guatemala","2016","Other","Washed / Wet",7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,0.11,"Green",1450,"bad"
"Brazil","2016","Other","Natural / Dry",7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,0,"Green",1,"bad"
"El Salvador","2014","Bourbon","Washed / Wet",7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,0.12,"Green",1500,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,0.11,"Green",1350,"bad"
"Malawi","2014","Other","Washed / Wet",7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,0.13,"Blue-Green",1180,"bad"
"Brazil","2015","Bourbon","Natural / Dry",7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,0.11,"Green",1100,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,0.11,"Green",650,"bad"
"Mexico","2013","Other","Washed / Wet",7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,0.12,"Blue-Green",1338,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,0.16,"None",533,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,0.11,"Green",1390.8024,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,0.13,"Green",1170,"bad"
"Mexico","2012","Typica","Washed / Wet",7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,0.12,"Green",1250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,0.11,"Green",1100,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,0.1,"Green",900,"bad"
"Colombia","2012","Caturra","Washed / Wet",7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,0.12,"Green",1750,"bad"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,0.11,"Green",1775,"bad"
"Brazil","2016","Bourbon","Natural / Dry",7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,0.11,"Green",934,"bad"
"Honduras","2015","Caturra","Washed / Wet",7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,0.11,"Bluish-Green",1500,"bad"
"Tanzania, United Republic Of","2015","Bourbon","Washed / Wet",7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0.13,"Green",1650,"bad"
"Tanzania, United Republic Of","2016","Other","Washed / Wet",7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,0.12,"Green",1600,"bad"
"Brazil","2016","Other","Natural / Dry",6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,0,"Green",1,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,0.11,"Green",1350,"bad"
"Guatemala","2014","Bourbon","Washed / Wet",7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,0.09,"Blue-Green",1500,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,0.12,"Green",1700,"bad"
"Mexico","2013","Other","Washed / Wet",7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,0.12,"Green",1100,"bad"
"Mexico","2013","Other","Washed / Wet",7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,0.1,"None",1400,"bad"
"Taiwan","2014","Typica","Other",7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,0.11,"Green",1200,"bad"
"Taiwan","2012","Typica","Washed / Wet",7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,0,"Green",800,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,0,"Bluish-Green",1750,"bad"
"Mexico","2012","Typica","Washed / Wet",7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,0.15,"None",1144,"bad"
"Guatemala","2012","Caturra","Washed / Wet",7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,0.12,"None",1350,"bad"
"Mexico","2012","Typica","Washed / Wet",7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,0.12,"Green",1000,"bad"
"Mexico","2012","Typica","Washed / Wet",7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,0.1,"Green",1200,"bad"
"Brazil","2016","Bourbon","Natural / Dry",7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,0.11,"Green",894,"bad"
"Brazil","2016","Other","Natural / Dry",7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,0,"Green",1,"bad"
"Costa Rica","2015","Caturra","Washed / Wet",7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,0,"Blue-Green",1300,"bad"
"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,0.12,"Green",1500,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,0.12,"Green",1600,"bad"
"Costa Rica","2013","Caturra","Washed / Wet",7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,0.11,"Green",13,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,0.13,"Green",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,0.13,"Green",1800,"bad"
"Mexico","2012","Typica","Washed / Wet",7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,0.11,"Green",1250,"bad"
"Vietnam","2012","Other","Natural / Dry",7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,0.12,"Green",1040,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,0.11,"Green",1250,"bad"
"Honduras","2017","Caturra","Washed / Wet",7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,0.12,"Green",1600,"bad"
"Honduras","2016","Caturra","Natural / Dry",7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,0.1,"Green",1600,"bad"
"Brazil","2016","Bourbon","Natural / Dry",7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,0.11,"Green",944,"bad"
"Tanzania, United Republic Of","2015","Other","Washed / Wet",7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,0.13,"Green",1650,"bad"
"Laos","2015","Other","Washed / Wet",7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,0.12,"Blue-Green",1250,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,0.12,"Green",1350,"bad"
"Malawi","2014","Other","Washed / Wet",7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,0.13,"Bluish-Green",2500,"bad"
